Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
121	Hans-Kristen Rootalu	M	M25-29	13	4:49:15	0:35:10	2:28:22	1:41:15
122	Francisco Giacosa	M	M35-39	20	4:49:40	0:36:05	2:34:19	1:32:49
123	Frank Gee	M	M25-29	14	4:49:44	0:36:57	2:23:07	1:42:03
124	Rodrigo Garcia Delgado	M	M30-34	20	4:49:59	0:35:49	2:32:54	1:29:05
125	Janar Männistu	M	M25-29	15	4:50:06	0:32:24	2:27:29	1:44:01
126	Anastasiia Illiashenko	F	M40-44	16	4:50:14	0:37:32	2:23:30	1:41:26
127	Fabienne Maia	F	F30-34	4	4:50:25	0:36:44	2:29:21	1:37:23
128	Clemens Köster	M	M50-54	6	4:50:53	0:37:10	2:27:47	1:38:05
129	Mattia Notturno	M	M30-34	21	4:51:41	0:33:49	2:31:17	1:37:33
130	Kaur Georg Maksimovski	M	M18-24	15	4:51:48	0:41:57	2:33:09	1:28:02
131	Henri Rüüsak	M	M50-54	7	4:51:50	0:33:26	2:33:44	1:37:37
132	Arno Hallist	M	M40-44	17	4:52:14	0:39:05	2:28:30	1:36:49
133	Nikita Žoglo	M	M18-24	16	4:52:20	0:34:05	2:27:01	1:43:00
134	Fahad Ali	M	M35-39	21	4:52:24	0:41:19	2:31:42	1:31:54
135	Marcus Nymoen	M	M25-29	16	4:52:28	0:42:13	2:27:54	1:34:48
136	Alari Lumberg	M	M40-44	18	4:52:29	0:41:04	2:33:51	1:30:42
137	Kalle Kärner	M	M45-49	9	4:52:44	0:41:58	2:29:50	1:34:10
138	Jonathan Fernandez Soares	M	M30-34	22	4:52:53	0:40:25	2:36:32	1:26:26
139	Truls Wagener	M	M50-54	8	4:52:54	0:36:29	2:31:38	1:37:42
140	Fares Almohannadi	M	M18-24	17	4:53:05	0:37:30	2:25:14	1:41:33
141	Russell Wright	M	M45-49	10	4:53:06	0:39:29	2:26:38	1:40:56
142	Mark Makram	M	M30-34	23	4:53:11	0:39:07	2:33:09	1:31:48
143	Reijo Anttila	M	M45-49	11	4:53:22	0:36:13	2:30:02	1:39:17
144	Jaanus Männik	M	M45-49	12	4:53:23	0:38:20	2:24:49	1:41:43
145	Liubomyr Fedyniak	M	M35-39	22	4:53:30	0:41:39	2:29:38	1:34:50
146	Jack Hinshelwood	M	M30-34	24	4:53:38	0:35:50	2:30:15	1:38:03
147	Heidi Saluveer	F	F18-24	2	4:53:46	0:31:08	2:39:36	1:34:52
148	Miika Vuorihuhta	M	M25-29	17	4:53:59	0:38:20	2:25:29	1:44:13
149	Sergejs Ivanovs	M	M35-39	23	4:54:04	0:36:16	2:30:18	1:38:21
150	Joshua Kyte	M	M30-34	25	4:54:11	0:33:08	2:35:50	1:37:53
151	Matias Rytkönen	M	M25-29	18	4:54:13	0:38:36	2:31:10	1:38:09
152	Jonathan Webb	M	M40-44	19	4:54:43	0:30:37	2:32:41	1:44:51
153	Petteri Tuominen	M	M25-29	19	4:55:00	0:44:21	2:24:23	1:37:58
154	Robert Schmidt	M	M30-34	26	4:55:02	0:40:53	2:33:26	1:29:28
155	Pasi Nieminen	M	M45-49	13	4:55:03	0:35:00	2:26:25	1:43:47
156	Jonathan Richards	M	M45-49	14	4:55:15	0:33:49	2:28:13	1:46:50
157	Piia Ereth Printsmann	F	F30-34	5	4:55:28	0:38:53	2:29:27	1:35:23
158	Roberts Rumba	M	M30-34	27	4:55:28	0:35:34	2:31:09	1:39:30
159	Dmitri Smorodin	M	M45-49	15	4:55:28	0:41:15	2:36:39	1:30:57
160	Artjom Livin	M	M40-44	20	4:55:43	0:42:52	2:28:36	1:36:53
161	Simen Alexander Strømstad	M	M25-29	20	4:55:44	0:39:18	2:38:23	1:32:25
162	Andrus Jaamul	M	M55-59	2	4:56:12	0:31:42	2:28:08	1:48:18
163	Marek Fordonski	M	M50-54	9	4:56:33	0:40:21	2:33:22	1:34:39
164	Jack Harrison	M	M30-34	28	4:56:48	0:40:34	2:42:44	1:22:00
165	Reigo Roosimets	M	M25-29	21	4:57:20	0:38:52	2:30:16	1:39:37
166	Sanna Heikkinen	F	F25-29	4	4:57:27	0:32:29	2:41:40	1:38:04
167	Alexander Hindle	M	M18-24	18	4:57:32	0:27:46	2:33:53	1:48:48
168	Andrejs Vinogradovs	M	M35-39	24	4:57:56	0:41:51	2:28:19	1:40:05
169	Ilyas Irgaliyev	M	M40-44	21	4:58:02	0:39:50	2:26:04	1:43:53
170	Risto Kask	M	M40-44	22	4:58:44	0:36:38	2:35:03	1:39:04
171	Saqar Al Muhannadi	M	M25-29	22	4:58:48	0:39:31	2:36:25	1:34:00
172	Luc Berthouze	M	M50-54	10	4:58:48	0:37:26	2:34:58	1:36:42
173	Marko Tõll	M	M45-49	16	4:58:57	0:38:50	2:32:32	1:41:02
174	Mairo Männa	M	M30-34	29	4:59:02	0:32:27	2:33:12	1:46:17
175	Räppo Johhanna	F	F25-29	5	4:59:08	0:35:49	2:38:19	1:39:51
176	Andrii Sumko	M	M35-39	25	4:59:11	0:35:25	2:31:01	1:44:57
177	Ergo Pikas	M	M35-39	26	4:59:34	0:40:43	2:34:55	1:35:08
178	Nicolas Speeck	M	M45-49	17	4:59:40	0:33:47	2:33:13	1:42:45
179	Artur Praun	M	M50-54	11	4:59:45	0:35:42	2:37:39	1:36:31
180	Thomas Tomp	M	M18-24	19	4:59:47	0:45:51	2:36:15	1:29:27
181	Aira-Maarit Mantsinen	F	F30-34	6	4:59:55	0:39:33	2:41:39	1:33:13
182	Maria Söderström	F	F50-54	1	4:59:57	0:35:56	2:37:04	1:39:09
183	Hannes Pahapill	M	M40-44	23	5:00:03	0:35:32	2:28:33	1:45:32
184	Otto Riisenberg	M	M45-49	18	5:00:24	0:38:29	2:36:34	1:39:04
185	Allar Pähn	M	M35-39	27	5:00:41	0:38:27	2:30:45	1:45:24
