Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
219	Daniel Rosquete	M	M40-44	35	10:07:52	0:50:58	5:01:02	3:58:57
220	Cesar Alvarez	M	M45-49	26	10:08:15	0:49:56	5:27:25	3:38:04
221	Taylor Cuenin	F	F25-29	2	10:09:20	0:47:01	5:19:20	3:50:46
222	Daniel Kotlyar	M	M18-24	11	10:09:23	0:51:16	5:17:25	3:50:13
223	Grace Banas	F	F30-34	3	10:09:32	0:54:32	5:38:25	3:26:41
224	James Scanlan	M	M55-59	12	10:10:02	1:05:32	5:24:50	3:21:39
225	Thomas Wakin	M	M18-24	12	10:10:08	0:51:33	5:03:08	4:01:39
226	Cedric Gitteau	M	M25-29	31	10:10:30	0:51:54	5:17:20	3:48:50
227	Brian Crabtree	M	M40-44	36	10:10:32	0:56:45	5:16:20	3:42:32
228	Dennis Woodside	M	M55-59	13	10:10:56	0:49:35	4:49:38	4:15:43
229	Francisco Xavier	M	M35-39	49	10:11:50	0:54:20	5:08:44	3:56:45
230	Thierry Piccoli	M	M55-59	14	10:12:56	0:56:31	5:00:02	4:05:04
231	Ludger Gerdesmeyer	M	M60-64	2	10:13:26	0:51:45	5:02:34	4:06:08
232	Hailey Manning	F	F45-49	2	10:13:41	0:46:31	5:28:21	3:46:36
233	Steven Borja	M	M35-39	50	10:13:49	0:56:38	5:05:38	4:00:27
234	Anthony Ross	M	M55-59	15	10:13:50	0:51:14	4:54:30	4:13:18
235	Greg Patterson	M	M55-59	16	10:13:53	0:48:19	4:54:53	4:17:12
236	William Inigo	M	M18-24	13	10:14:05	0:50:29	5:08:33	4:04:31
237	John Mcginley	M	M55-59	17	10:14:54	0:59:47	5:01:33	3:50:38
238	Tristan Houser	M	M25-29	32	10:15:20	0:55:28	5:34:06	3:31:28
239	Matthew Roberts	M	M50-54	19	10:15:41	0:49:59	5:02:18	4:11:06
240	Scott Byram	M	M45-49	27	10:15:48	0:52:08	4:48:09	4:20:03
241	Demetrius Cody	M	M35-39	51	10:16:51	0:54:48	4:58:08	4:13:27
242	Neil Samson	M	M40-44	37	10:16:55	0:50:41	5:13:37	3:59:49
243	Marissa Jensen	F	F30-34	4	10:17:10	0:50:07	5:32:28	3:40:15
244	Nicolás Giraldo Acosta	M	M30-34	34	10:18:26	1:00:15	5:01:37	4:05:11
245	Christopher Yee	M	M35-39	52	10:18:50	0:53:57	5:19:41	3:56:00
246	David Spargo	M	M55-59	18	10:18:52	0:54:20	5:01:26	4:10:03
247	Guillermo Joo	M	M40-44	38	10:19:11	0:53:56	5:39:08	3:30:24
248	Mikael Ago	M	M18-24	14	10:19:18	0:52:50	5:14:02	4:00:41
249	Ian Petersen	M	M35-39	53	10:19:27	0:55:16	5:14:55	3:55:19
250	Erik Philipson	M	M25-29	33	10:19:46	0:55:52	4:56:33	4:13:40
251	Ben Collins	M	M25-29	34	10:20:10	0:55:00	5:13:16	3:59:23
252	Nick Cooley	M	M40-44	39	10:20:30	0:57:52	5:27:54	3:39:33
253	Samuel Alvarado Revilla	M	M40-44	40	10:20:46	1:01:17	5:10:23	3:56:23
254	Chris Chew	M	M35-39	54	10:20:50	1:01:07	5:05:27	3:59:39
255	Jay Lagrone	M	M60-64	3	10:21:05	0:57:38	5:20:22	3:49:56
256	Darren Mounts	M	M50-54	20	10:22:00	0:44:59	4:47:10	4:36:01
257	Cristian Montero	M	M45-49	28	10:22:02	1:01:13	5:17:05	3:48:20
258	QUỐC HƯNG NGUYỄN H.	M	M35-39	55	10:22:10	1:01:57	5:19:35	3:43:52
259	Evan Hybl	M	M18-24	15	10:22:11	0:53:18	5:19:53	3:50:32
260	ALESSANDRO SCHWINDEN	M	M45-49	29	10:22:56	1:05:17	5:04:58	4:01:57
261	Meghan Rushing	F	F40-44	4	10:23:05	0:53:48	5:18:52	3:58:51
262	Rolf Bender	M	M55-59	19	10:23:07	0:55:18	5:11:43	4:04:35
263	Jamie Stenwick	M	M18-24	16	10:23:07	0:54:29	5:26:58	3:48:37
264	Clayton Bolinger	M	M45-49	30	10:23:19	0:54:38	5:12:13	3:59:40
265	Rafael Burger	M	M18-24	17	10:23:22	0:56:03	5:36:19	3:34:38
266	Jacob Godar	M	M35-39	56	10:23:56	0:57:39	5:06:15	4:06:50
267	John Schaller	M	M45-49	31	10:24:40	0:55:44	4:41:58	4:34:31
268	camilo garcia	M	M50-54	21	10:24:42	0:50:53	5:13:41	4:07:40
