総合順位	No.	氏名	年齢	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	T1	ﾊﾞｲｸﾗｯﾌﾟ	B順	T2	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	年代区分	年代順位
166	625	大崎 佳子	56	女	宮城県	2:56:24	0:37:04	154	0:04:22	1:35:41	165	0:02:48	2:17:07	164	0:36:30	161		29	50歳～59歳女子	12
167	230	市井 諒	32	男	宮城県	3:01:40	0:36:36	153	0:06:09	1:34:27	164	0:04:13	2:17:13	165	0:40:14	165	138		30歳～39歳男子	13
168	546	高見澤 哲矢	57	男	宮城県	3:08:18	0:37:40	156	0:05:24	1:43:54	170	0:02:56	2:26:59	168	0:38:23	163	139		50歳～59歳男子	46
SKIP	226	本間 圭樹	30	男	東京都	2:30:51				1:11:50	67	0:02:04			0:26:53	102			30歳～39歳男子	
SKIP	540	渡辺 浩史	56	男	東京都	2:38:35			0:05:54	1:21:56	126	0:03:29			0:26:09	91			50歳～59歳男子	
SKIP	533	植木 統	59	男	宮城県	2:43:37			0:04:30	1:25:31	143	0:02:37			0:29:54	128			50歳～59歳男子	
SKIP	535	行場 裕樹	55	男	宮城県	2:52:19			0:04:58	1:26:29	147	0:03:45			0:35:57	160			50歳～59歳男子	
SKIP	419	渡邊 牧人	47	男	新潟県	2:58:21			0:04:59	1:28:57	154	0:03:05			0:38:07	162			40歳～49歳男子	
SKIP	225	坂田 浩章	30	男	宮城県	3:13:22			0:04:53	1:38:29	168	0:04:20			0:40:32	166			30歳～39歳男子	
DNF	607	櫻井 唯	22	女	宮城県		0:17:41	14	0:01:32	3:33:43	172		3:52:56	170					20歳～29歳女子	
DNF	515	阿部 忠順	52	男	神奈川県		0:30:49	130	0:05:20										50歳～59歳男子	
DNF	526	氏家 正裕	54	男	宮城県		0:21:22	40	1:48:45										50歳～59歳男子	
DNF	555	菅原 隆平	59	男	宮城県		0:34:08	148	0:11:18	2:02:24	171		2:47:50	169					50歳～59歳男子	
DNF	503	青沼 伸	50	男	宮城県		0:25:36	84	0:03:59	0:33:52	1		1:03:27	1					50歳～59歳男子	
DNF	549	後藤 誠	58	男	宮城県														50歳～59歳男子	
DNF	631	高橋 あき子	71	女	神奈川県														70歳以上女子	
DNF	563	大坪 隆	61	男	埼玉県														60歳～69歳男子	
DNF	405	小栗 孝之	40	男	埼玉県														40歳～49歳男子	
DNF	414	千葉 大輔	45	男	宮城県														40歳～49歳男子	
DNF	517	菅井 義啓	52	男	宮城県														50歳～59歳男子	
DNS	537	内田 光寿	55	男	岩手県														50歳～59歳男子	
DNS	569	涌井 邦浩	65	男	福島県														60歳～69歳男子	
