Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
165	Troy Boone	M	M55-59	4	10:57:06	1:14:34	5:34:27	3:51:13
166	Christopher Brede	M	M40-44	19	10:57:07	1:01:18	5:39:33	4:04:02
167	Kristen Janssen	F	F30-34	3	10:57:12	1:05:42	6:02:41	3:39:33
168	Zhao Zheng	M	M18-24	18	10:57:15	1:00:51	5:48:35	3:54:44
169	Mark Dorris	M	M40-44	20	10:57:55	1:12:20	5:48:34	3:46:24
170	Alex Hoopes	M	M18-24	19	10:58:09	1:03:15	6:09:05	3:36:00
171	Yaniv Shnaider	M	M35-39	29	10:58:26	0:57:17	5:56:45	3:48:55
172	Adam Okrzesik	M	M25-29	25	10:58:45	1:17:12	5:20:24	4:11:57
173	Raymond Wang	M	M25-29	26	10:59:26	0:57:20	6:05:08	3:41:57
174	Andrew Bremer	M	M35-39	30	10:59:43	1:12:26	5:46:44	3:45:28
175	Ignacio Gamboa	M	M18-24	20	11:00:51	1:25:07	6:09:15	3:11:32
176	Claire Vandenhouten	F	F18-24	1	11:02:18	0:56:21	6:10:46	3:44:56
177	Dennis Escobar	M	M30-34	30	11:02:40	1:22:45	6:17:07	3:09:56
178	Cody Mauri	M	M25-29	27	11:02:52	1:18:49	6:04:32	3:22:44
179	Joseph Devroy	M	M30-34	31	11:03:10	0:58:37	5:55:42	3:52:55
180	Chris Kennel	M	M40-44	21	11:03:15	1:04:35	5:45:56	3:59:04
181	Matthew Sheridan	M	M18-24	21	11:03:25	1:17:56	6:00:44	3:29:55
182	Chris Morrissette	M	M40-44	22	11:03:31	1:19:35	5:14:52	4:16:36
183	Tommy Wagner	M	M50-54	8	11:05:07	1:07:20	5:46:30	4:01:49
184	Nick Johnson	M	M25-29	28	11:05:22	1:05:45	5:49:47	3:55:51
185	Drake Austin	M	M35-39	31	11:06:57	1:10:42	6:01:37	3:40:56
186	Luc Guillette	M	M55-59	5	11:07:24	0:57:36	6:07:56	3:47:34
187	Melanie Ott	F	F40-44	2	11:07:28	1:10:05	5:45:14	4:01:06
188	Matt Nelson	M	M18-24	22	11:07:32	1:11:46	5:48:20	3:48:56
189	Charles Ball	M	M30-34	32	11:08:19	1:11:03	5:58:15	3:45:19
190	Evan Wetzel	M	M25-29	29	11:08:34	1:15:09	6:36:38	3:03:10
191	Joseph Barnes	M	M45-49	29	11:09:06	1:22:43	6:04:25	3:21:56
192	Cody Ticen	M	M18-24	23	11:10:03	1:17:24	5:42:20	3:52:06
193	Alexandra Lorenz	F	F25-29	3	11:10:18	1:00:59	5:58:12	3:59:17
194	Guillaume Giraudbit	M	M50-54	9	11:10:27	1:18:06	5:46:44	3:50:48
195	Brandon Murrell	M	M25-29	30	11:11:04	1:17:59	5:41:47	3:57:10
196	Clay Bowden	M	M30-34	33	11:12:02	1:04:55	5:37:47	4:15:20
197	Logan Mobasser	M	M18-24	24	11:12:17	1:16:43	5:59:13	3:42:55
198	Matthew Abate	M	M45-49	30	11:12:58	1:17:31	5:50:32	3:46:29
199	Steve Sweet	M	M45-49	31	11:13:06	1:07:49	5:50:23	4:01:19
200	Ben Eckholm	M	M30-34	34	11:13:50	1:11:34	5:52:35	3:51:10
201	Brandon Hall	M	M18-24	25	11:14:01	0:55:17	5:42:56	4:20:02
202	Andrew Greif	M	M45-49	32	11:14:11	1:01:26	5:29:19	4:35:26
203	Emma Taylor	F	F30-34	4	11:14:17	1:09:45	5:54:15	4:01:11
204	Adam Fowler	M	M25-29	31	11:14:48	1:11:15	5:55:52	3:50:52
205	Dave Lundberg	M	M60-64	4	11:15:18	1:09:47	5:43:16	4:10:30
206	Kirsten Heikkinen	F	F30-34	5	11:15:53	1:01:09	5:47:56	4:17:28
207	Gavin Dunne	M	M45-49	33	11:16:44	1:20:59	5:40:50	4:04:35
208	Matt Buongiorno	M	M35-39	32	11:16:45	1:21:21	5:44:18	3:59:32
209	Craig Kuehl	M	M45-49	34	11:16:58	1:01:57	6:31:53	3:29:31
210	Cameron Pringle	M	M30-34	35	11:16:59	1:11:51	6:03:07	3:44:25
211	Coray Preece	M	M30-34	36	11:17:13	1:19:19	5:50:34	3:51:50
212	Shadrach Preece	M	M25-29	32	11:17:18	1:32:25	5:50:10	3:42:22
213	Jonathan Buchert	M	M25-29	33	11:17:41	1:13:06	6:02:30	3:48:11
214	Ben Schauland	M	M35-39	33	11:17:48	1:30:00	5:39:26	3:51:43
215	Shaun Haggerty	M	M40-44	23	11:18:59	1:19:42	5:53:07	3:52:13
216	Dane Mccormick	M	M25-29	34	11:19:46	1:23:28	5:49:42	3:46:12
217	Michael Rycroft	M	M45-49	35	11:20:00	1:35:11	5:14:11	4:12:09
218	Josh Freund	M	M40-44	24	11:20:22	1:10:27	5:44:58	4:10:32
219	Christopher Haas	M	M45-49	36	11:20:36	1:05:18	5:57:41	4:07:51
220	Nicolas Feraci	M	M40-44	25	11:20:43	1:08:37	5:51:18	4:08:59
221	Jared Kuehnlein	M	M35-39	34	11:21:41	1:10:31	5:43:31	4:10:07
222	Chris Werner	M	M45-49	37	11:22:01	1:08:37	5:37:38	4:14:26
223	Mark Smith	M	M35-39	35	11:22:27	1:06:19	5:38:15	4:24:22
224	Barrett Nichting	M	M35-39	36	11:23:08	1:22:20	5:52:04	3:48:59
225	Patrick Clark	M	M18-24	26	11:23:33	1:14:25	6:02:10	3:53:15
226	Rock Stewart	M	M25-29	35	11:23:57	1:11:40	6:02:15	3:54:51
227	Caitlin Mosier	F	F30-34	6	11:24:05	0:57:23	6:10:33	4:05:51
228	Kenneth Foley	M	M35-39	37	11:25:04	1:11:26	6:14:01	3:40:45
229	Kevin Wu	M	M30-34	37	11:25:05	1:14:30	5:54:14	4:04:42
230	Max Metcalf	M	M18-24	27	11:26:05	1:31:04	6:00:17	3:36:30
231	Luke Carroll	M	M35-39	38	11:26:19	1:15:26	5:52:23	3:58:17
232	Brooke Riedy	F	F25-29	4	11:27:22	1:17:08	6:18:17	3:35:26
233	Sean House	M	M40-44	26	11:27:42	1:09:32	5:40:01	4:24:39
234	Christian Huckerby	M	M30-34	38	11:27:57	1:15:47	6:18:49	3:40:16
235	Nicholas Cox	M	M35-39	39	11:28:55	1:15:21	5:53:04	4:05:13
236	Claire Koeppel	F	F18-24	2	11:29:17	1:00:00	6:04:46	4:14:21
237	Amy Hite	F	F45-49	2	11:29:56	1:11:19	6:11:36	3:55:13
238	Mike Mcconnell	M	M35-39	40	11:30:05	1:23:54	5:57:35	3:58:00
239	Phillip Thompson	M	M35-39	41	11:30:13	1:19:32	5:50:53	4:04:04
240	Westley Schmidt	M	M25-29	36	11:30:39	1:13:00	6:05:04	3:51:33
241	Josh Gableman	M	M25-29	37	11:30:54	1:10:35	5:54:36	4:08:12
242	Mark Zipsie	M	M50-54	10	11:30:57	1:27:30	6:15:24	3:27:21
243	Walker Burrow	M	M30-34	39	11:31:16	0:56:19	5:49:31	4:31:33
244	Christopher Hudson	M	M35-39	42	11:31:39	1:10:56	6:09:50	3:59:19
245	Alison Blackmore	F	F35-39	2	11:31:47	1:09:13	6:16:57	3:51:50
246	Greg Nelson	M	M55-59	6	11:31:49	1:13:50	5:50:12	4:14:07
247	Keenan Horness	F	F35-39	3	11:32:18	1:06:07	6:16:09	3:58:38
248	Patrick Foley	M	M50-54	11	11:32:42	1:10:33	5:48:00	4:20:29
249	Alexander Kranz	M	M40-44	27	11:32:51	1:05:09	5:58:54	4:11:14
250	Robert Hatch	M	M25-29	38	11:33:17	1:15:10	5:31:00	4:26:35
251	Kaiden Meyer	M	M18-24	28	11:33:46	1:40:03	6:15:56	3:21:29
252	Michael Baba	M	M40-44	28	11:33:59	1:04:28	5:33:16	4:40:49
253	Matthew Mcmillian	M	M40-44	29	11:34:08	1:02:23	5:37:48	4:41:02
254	Lukas Neckhaim	M	M25-29	39	11:34:31	1:24:37	5:48:18	4:06:43
255	Sean Saint	M	M30-34	40	11:35:42	1:16:44	6:07:59	3:53:38
256	Brie Mcsherry	F	F40-44	3	11:35:53	1:15:15	6:17:52	3:45:05
257	Niels Oomkes	M	M55-59	7	11:36:26	1:20:37	6:02:58	3:57:49
258	Garth Behrje	M	M55-59	8	11:36:45	1:20:42	6:10:48	3:48:17
259	Adrian Constantinescu	M	M55-59	9	11:37:08	1:30:35	5:52:08	3:57:11
260	Devin Blom	M	M25-29	40	11:37:08	1:34:56	5:49:05	4:00:36
261	Adam Wallace	M	M25-29	41	11:37:35	1:20:39	5:46:34	4:13:09
262	Annelise Goddard	F	F18-24	3	11:37:44	0:58:38	6:15:53	4:10:44
263	Blake Montgomery	M	M25-29	42	11:38:23	1:17:47	6:20:10	3:40:10
264	Harry Daubitz	M	M25-29	43	11:38:42	1:17:48	6:20:53	3:36:25
265	Evan Daebel	M	M30-34	41	11:39:06	1:13:21	5:48:35	4:25:47
266	Aaron Mello	M	M30-34	42	11:39:13	1:15:38	6:30:50	3:30:16
267	Preston Sam	M	M30-34	43	11:39:18	1:19:26	6:10:15	3:56:35
268	Ken Olson	M	M50-54	12	11:39:35	1:30:58	5:50:22	3:58:03
269	Max Hughes	M	M18-24	29	11:40:50	1:22:01	6:07:56	3:55:12
270	Kent Miskimen	M	M50-54	13	11:41:27	1:19:59	6:22:55	3:41:18
271	Michael Sullivan	M	M25-29	44	11:42:00	1:34:15	6:08:55	3:42:06
272	Orion Staskal	M	M25-29	45	11:42:26	1:15:31	5:40:43	4:28:01
273	Alex Harrison	M	M25-29	46	11:42:26	1:17:58	6:12:16	3:58:23
274	Jonathan Riggins	M	M18-24	30	11:42:35	1:10:18	6:43:03	3:34:50
275	Kyle Hagan	M	M35-39	43	11:42:42	1:13:33	6:10:55	4:04:28
276	Shawn Schmidtknecht	M	M50-54	14	11:42:57	1:42:41	6:16:39	3:24:50
277	Mike Wolfgram	M	M50-54	15	11:42:57	1:13:22	6:02:41	4:12:52
278	Matt Morrison	M	M40-44	30	11:43:34	1:01:51	5:32:19	4:55:52
279	Robert Conway	M	M30-34	44	11:43:48	1:14:21	6:16:20	3:56:42
280	Cameron Patrick	M	M35-39	44	11:43:54	1:23:13	6:06:41	3:54:08
281	Austin Highlen	M	M30-34	45	11:44:06	1:13:50	6:03:11	4:12:34
282	Ryan Krull	M	M30-34	46	11:44:11	1:05:05	6:21:02	3:58:06
283	Brandon Hirschmann	M	M18-24	31	11:44:11	1:14:40	6:29:17	3:44:14
284	Jarett Jones	M	M25-29	47	11:44:12	1:15:49	6:03:58	4:05:17
285	Casey Edick	M	M50-54	16	11:44:44	1:19:55	5:59:51	4:10:04
286	Cody Vieth	M	M30-34	47	11:45:04	1:14:18	6:11:41	4:01:59
287	Edward Mckenna	M	M35-39	45	11:45:08	1:15:49	6:11:03	3:57:18
288	Mitchell Minotti	M	M30-34	48	11:45:18	1:20:16	6:12:36	3:51:04
289	Billy Volchko	M	M35-39	46	11:45:31	1:24:53	5:39:11	4:25:15
290	Alec Opsal	M	M25-29	48	11:45:46	1:11:07	6:18:30	4:01:20
